TICKER,POSITION_SIZE,STRIKE_PRICE,EXPIRY_DAYS,OPTION_TYPE
TSLA,4953,628,7,Call
AAPL,329,540,47,Put
TSLA,-840,1036,53,Put
RELIANCE,3842,761,49,Put
AAPL,2032,0,0,Stock
HDFCBANK,-1057,1227,88,Put
HDFCBANK,-2476,1439,66,Put
TSLA,-1996,664,63,Put
RELIANCE,2744,337,34,Call
RELIANCE,-798,670,22,Put
HDFCBANK,4868,997,75,Put
HDFCBANK,-4065,855,81,Call
AAPL,3081,359,70,Call
AAPL,3783,509,35,Call
RELIANCE,3722,0,0,Stock
TSLA,372,0,0,Stock
TSLA,-4326,409,83,Call
RELIANCE,-3286,680,54,Call
AAPL,-1056,0,0,Stock
TCS,2259,1223,9,Put
AAPL,1485,0,0,Stock
TSLA,3230,352,30,Put
TSLA,493,871,10,Call
AAPL,3477,762,12,Call
TSLA,-4526,1345,57,Call
TSLA,-4602,0,0,Stock
AAPL,1572,316,27,Put
RELIANCE,4321,794,13,Call
RELIANCE,3836,232,43,Put
TSLA,3877,664,63,Put
HDFCBANK,-3810,993,32,Put
TSLA,3247,0,0,Stock
TSLA,1192,1114,81,Put
HDFCBANK,-1308,463,17,Put
TCS,-169,704,60,Put
TCS,2447,0,0,Stock
HDFCBANK,-2866,1484,41,Put
RELIANCE,1768,1400,44,Call
AAPL,862,1032,66,Call
TCS,2994,356,45,Put
HDFCBANK,-1237,576,68,Call
RELIANCE,739,0,0,Stock
TCS,2999,503,87,Call
TSLA,3005,1147,40,Put
TCS,-637,846,38,Put
RELIANCE,-3726,320,58,Put
TSLA,3902,309,86,Call
TSLA,1831,0,0,Stock
TCS,2051,488,16,Put
RELIANCE,-1226,0,0,Stock
AAPL,-1275,1296,59,Call
AAPL,3347,1022,32,Put
TCS,-3059,597,64,Call
TCS,-4604,720,19,Put
RELIANCE,-803,1416,35,Call
AAPL,-216,1198,32,Put
TCS,-4690,349,52,Put
AAPL,1142,1302,52,Put
RELIANCE,-439,311,34,Put
RELIANCE,-629,435,15,Call
AAPL,-2644,0,0,Stock
TCS,1770,589,23,Put
RELIANCE,821,462,76,Put
HDFCBANK,-1850,493,67,Call
RELIANCE,3443,959,83,Put
TCS,4090,0,0,Stock
AAPL,-1578,957,19,Call
TSLA,967,0,0,Stock
TSLA,-3133,996,81,Call
RELIANCE,2237,817,39,Put
RELIANCE,177,792,40,Call
TSLA,1265,0,0,Stock
TCS,279,792,65,Call
HDFCBANK,-1305,1475,81,Call
RELIANCE,4420,275,54,Put
RELIANCE,1611,1020,80,Call
AAPL,-4414,1154,40,Put
TSLA,-1682,1489,17,Call
TCS,2082,838,62,Call
TCS,-1108,1210,57,Put
TCS,-1649,0,0,Stock
AAPL,-2736,585,83,Put
RELIANCE,-1795,893,73,Put
TCS,3026,1473,53,Put
HDFCBANK,2931,0,0,Stock
TSLA,4485,363,56,Call
TSLA,1926,1163,37,Put
AAPL,3006,908,12,Put
AAPL,-2433,713,30,Put
TCS,528,1277,19,Put
RELIANCE,-4485,784,21,Call
TCS,1648,0,0,Stock
HDFCBANK,-4814,1003,64,Put
HDFCBANK,-1003,375,31,Call
AAPL,775,0,0,Stock
HDFCBANK,-3634,0,0,Stock
AAPL,-3954,579,32,Put
HDFCBANK,-4209,1013,40,Put
HDFCBANK,4702,591,32,Put
TSLA,4807,626,68,Call
TCS,806,1392,81,Put
TCS,4355,460,62,Put
TSLA,-3047,632,69,Put
HDFCBANK,-3453,211,42,Call
HDFCBANK,-2429,449,35,Put
RELIANCE,-2087,519,38,Call
TSLA,-1016,959,55,Call
RELIANCE,825,964,86,Put
HDFCBANK,-1924,0,0,Stock
AAPL,-953,581,25,Call
HDFCBANK,2607,0,0,Stock
AAPL,-1828,985,24,Put
AAPL,-1391,600,11,Call
TSLA,1698,0,0,Stock
TCS,259,1142,81,Put
HDFCBANK,-4305,1136,37,Put
TSLA,3158,910,51,Call
TSLA,906,226,32,Call
RELIANCE,-618,1076,9,Put
TSLA,1082,0,0,Stock
TSLA,2009,1392,29,Put
HDFCBANK,1599,0,0,Stock
HDFCBANK,175,0,0,Stock
HDFCBANK,1362,1110,32,Call
RELIANCE,-1795,569,84,Call
RELIANCE,3419,956,32,Call
TSLA,388,691,18,Put
HDFCBANK,-568,0,0,Stock
TCS,-3517,662,72,Call
RELIANCE,880,575,58,Call
TCS,1066,498,33,Call
TCS,-1767,344,55,Call
TSLA,-3920,576,54,Put
TSLA,-1059,447,63,Put
RELIANCE,-1030,625,10,Call
TCS,4630,1316,70,Put
TSLA,605,375,45,Put
TCS,-2504,0,0,Stock
AAPL,-1310,0,0,Stock
AAPL,2315,0,0,Stock
TCS,-4828,260,14,Put
TCS,916,1275,46,Call
RELIANCE,-2806,0,0,Stock
RELIANCE,-3906,790,7,Call
TCS,-174,0,0,Stock
TCS,-2787,1103,10,Call
RELIANCE,-3059,893,70,Call
HDFCBANK,-3138,469,62,Call
TCS,4108,667,51,Put
TCS,3893,915,62,Call
RELIANCE,2961,790,59,Call
AAPL,1208,854,69,Put
RELIANCE,-411,0,0,Stock
HDFCBANK,2586,469,62,Call
RELIANCE,1071,0,0,Stock
TSLA,962,683,16,Call
